si_do,gu_gun,name,address,latitude,longitude,phone,homepage
강원,강릉시,강릉커피거리,강원도 강릉시 창해로 17,37.7721117,128.9481046,,
강원,강릉시,경포대,강원도 강릉시 경포로 365 경포대,37.7950946,128.896645,033-640-4471,
강원,강릉시,오죽헌,강원도 강릉시 율곡로3139번길 24 오죽헌,37.7790191,128.8777083,033-660-3301,
강원,강릉시,정동진,강원도 강릉시 강동면 정동진리,37.6925687,129.0318013,033-640-4536,
강원,속초시,아바이마을,강원도 속초시 청호로 122,38.203425,128.5943868,033-633-3171,http://www.abai.co.kr/
강원,양양군,낙산사,강원도 양양군 강현면 낙산사로 100,38.1255196,128.6285519,033-672-2447,http://www.naksansa.or.kr/
강원,원주시,뮤지엄 산,강원도 원주시 지정면 오크밸리2길 260,37.4195306,127.8230309,033-730-9000,http://museumsan.org/
강원,인제군,설악산,강원도 인제군 북면,38.1077393,128.3633945,033-636-7700,http://seorak.knps.or.kr/
강원,인제군,원대리자작나무숲,강원도 인제군 인제읍 원남로 760 자작나무숲 안내소,37.9737703,128.2272702,,
강원,정선군,삼탄아트마인,강원도 정선군 고한읍 함백산로 1445-44,37.1852172,128.8838208,033-591-3001,http://samtanartmine.com/
강원,춘천시,남이섬,강원도 춘천시 남산면 남이섬길 1 남이섬,37.7933057,127.5256836,031-580-8114,http://www.namisum.com/
강원,춘천시,물레길,강원도 춘천시 스포츠타운길 113-1,37.8553269,127.6860201,070-4150-9463,http://www.mullegil.org/
강원,태백시,태백산,강원도 태백시 소도동,37.0989363,128.9157327,033-550-2741,
강원,평창군,대관령,강원도 평창군 대관령면 횡계리,37.6880009,128.7564593,,
강원,평창군,오대산,강원도 평창군 진부면 오대산로 2,37.7938099,128.5426669,033-332-6417,http://odae.knps.or.kr/
경기,가평군,쁘띠프랑스,경기도 가평군 청평면 고성리 616,37.7156792,127.4906184,031-584-8200,http://www.pfcamp.com/
경기,가평군,아침고요수목원,경기도 가평군 상면 행현리 산255,37.7427826,127.3525596,1544-6703,http://www.morningcalm.co.kr/
경기,고양시,북한산,경기도 고양시 덕양구 대서문길 375,37.6587631,126.9779832,02-909-0497,http://bukhan.knps.or.kr/
경기,수원시,수원화성,경기도 수원시 장안구 연무동 190,37.2870222,127.0118287,031-290-3600,http://www.swcf.or.kr/
경기,양평군,두물머리,경기도 양평군 양서면 양수리,37.5334871,127.3159214,031-770-2068,
경기,용인시,에버랜드,경기도 용인시 처인구 포곡읍 에버랜드로 199,37.2895073,127.2165946,031-320-5000,http://www.everland.com/
경기,용인시,한국민속촌,경기도 용인시 기흥구 민속촌로 90 한국민속촌,37.2594584,127.1205835,031-288-0000,http://www.koreanfolk.co.kr/
경기,파주시,헤이리,경기도 파주시 탄현면 법흥리,37.7884892,126.6995118,031-946-8551,
경기,포천시,허브아일랜드,경기도 포천시 신북면 청신로947번길 35,37.9656797,127.1316219,031-535-6494,http://herbisland.co.kr/
경남,거제시,해금강,경상남도 거제시 남부면 해금강로 270,34.7357654,128.6753076,,
경남,남해군,남해독일마을,경상남도 남해군 삼동면 물건리 1074-2,34.799238,128.0401505,,http://xn--q20b22d63gstp7hax35e.com/
경남,남해군,다랭이마을,경상남도 남해군 남면 남면로679번길 21 다랭이두레방,34.7275668,127.8940472,010-4590-4642,http://darangyi.go2vil.org/
경남,산청군,지리산,경상남도 산청군 시천면,35.3369477,127.7306136,055-972-7771,http://jiri.knps.or.kr/
경남,진주시,진주성,경상남도 진주시 본성동,35.1899151,128.0793195,055-749-2480,http://castle.jinju.go.kr/main/
경남,창녕군,우포늪,경상남도 창녕군 유어면 대대리,35.5553165,128.416794,055-530-1553,http://www.upo.or.kr/main/
경남,통영시,동피랑마을,경상남도 통영시 동호동,34.8457083,128.4277373,055-649-2263,http://www.dongpirang.org/
경남,통영시,소매물도,경상남도 통영시 한산면 매죽리  소매물도,34.6274139,128.5501535,,
경남,통영시,장사도,경상남도 통영시 한산면 매죽리,34.7127965,128.5597591,,
경남,통영시,한려수도조망케이블카,경상남도 통영시 발개로 205,34.8267121,128.4257256,055-649-3804,
경남,합천군,해인사,경상남도 합천군 가야면 해인사길 122 비로전,35.8013708,128.0980017,055-934-3000,http://www.haeinsa.or.kr/
경북,경주시,불국사,경상북도 경주시 진현동 15,35.7904321,129.331882,054-746-9913,http://www.bulguksa.or.kr/
경북,경주시,석굴암,경상북도 경주시 불국로 873-243 석굴암,35.7948709,129.3492357,054-746-9933,http://www.sukgulam.org/
경북,경주시,안압지,경상북도 경주시 인왕동,35.8352458,129.2267759,054-772-4041,
경북,고령군,대가야 고분군,경상북도 고령군 고령읍 지산리,35.7264919,128.2534152,054-950-6060,http://utour.goryeong.go.kr/
경북,문경시,문경새재도립공원,경상북도 문경시 문경읍 새재로 932 문경새재관리사무소,36.7667249,128.0752626,054-571-0709,http://saejae.gbmg.go.kr/open.content/ko/
경북,봉화군,백두대간협곡열차,경상북도 봉화군 소천면 분천리 964,36.9325795,129.0585178,054-1600-7788,
경북,안동시,안동하회마을,경상북도 안동시 풍천면 하회리,36.5397963,128.5188753,054-853-0109,http://www.hahoe.or.kr/
경북,영주시,부석사,경상북도 영주시 부석면 부석사로 345,36.9986008,128.6873224,054-633-3464,http://korean.visitkorea.or.kr/kor/inut/where/festival/festival.jsp?cid=1773408
경북,울릉군,독도,경상북도 울릉군 울릉읍 독도리 산1-37,37.2412288,131.8666358,054-790-6420,
경북,울릉군,울릉도,경상북도 울릉군 울릉읍 도동리 128,37.4947995,130.8428138,054-790-6454,http://www.ulleung.go.kr/tour/
광주,동구,무등산,광주광역시 동구 지산동,35.124186,127.0085289,062-227-1187,http://mudeungsan.gwangju.go.kr/
대구,남구,안지랑 곱창골목,대구광역시 남구 대명동,35.8374629,128.5749207,,
대구,중구,근대골목,대구광역시 중구 장관동,35.8680056,128.5904009,,
대구,중구,김광석다시그리기길,대구광역시 중구 대봉동,35.8603879,128.6069527,,
대전,대덕구,계족산 황톳길,대전광역시 대덕구 장동 59,36.405073,127.4428228,042-623-9909,
대전,서구,장태산자연휴양림,대전광역시 서구 장안동 67,36.2178502,127.3406333,042-270-7883,http://www.jangtaesan.or.kr/
부산,사하구,감천문화마을,부산광역시 사하구 감내1로 200,35.0962955,129.0094353,051-293-3443,http://www.gamcheon.or.kr/
부산,영도구,태종대,부산광역시 영도구 전망로 316,35.0537985,129.0860393,051-405-2004,http://taejongdae.bisco.or.kr/
부산,해운대구,해운대해수욕장,부산광역시 해운대구 중1동 1015,35.1581446,129.1583542,064-783-0959,http://sunnfun.haeundae.go.kr/
서울,용산구,N서울타워,서울특별시 용산구 남산공원길 105 N서울타워,37.551286,126.9882895,02-3455-9277,http://www.nseoultower.com/
서울,종로구,경복궁,서울특별시 종로구 사직로 161 경복궁,37.5788963,126.9770479,02-3700-3900,http://www.royalpalace.go.kr/
서울,종로구,경희궁,서울특별시 종로구 신문로2가 1,37.5708304,126.968566,02-724-0274,
서울,종로구,광장시장,서울특별시 종로구 창경궁로 88,37.5701334,126.9996494,02-2267-0291,http://kwangjangmarket.co.kr/
서울,종로구,북촌 한옥마을,서울특별시 종로구 계동길 37,37.5814166,126.9851086,02-2133-1372,http://bukchon.seoul.go.kr/
서울,종로구,인사동길전통문화의거리,서울특별시 종로구 인사동,37.573965,126.9851077,,
서울,종로구,종묘,서울특별시 종로구 훈정동 1,37.575861,126.9939803,02-765-0195,http://jm.cha.go.kr/n_jm/index.html
