si_do,gu_gun,name,address,content01,latitude,longitude,phone,homepage
½Ãµµ,±¸±º,°ü±¤Áö,ÁÖ¼Ò,¼³¸í,À§µµ,°æµµ,ÀüÈ­¹øÈ£,È¨ÆäÀÌÁö
°­¿ø°­¿ø+F24AA5:I110,°­¸ª½Ã,°­¸ªÄ¿ÇÇ°Å¸®,°­¿øµµ °­¸ª½Ã Ã¢ÇØ·Î 17,"°­¿øµµ °­¸ª½Ã´Â ±¹³» Áö¹æÀÚÄ¡´ÜÃ¼ ´ÜÀ§¿¡¼­´Â ÃÖÃÊ·Î Ä¿ÇÇ ÃàÁ¦¸¦ °³ÃÖÇÑ °÷À¸·Î 1¼¼´ë ¹Ù¸®½ºÅ¸ÀÎ Ä¿ÇÇ ¸íÀå, Ä¿ÇÇ ¹Ú¹°°ü, Ä¿ÇÇ ³óÀå, Ä¿ÇÇ °Å¸®, Ä¿ÇÇ °øÀå, ¹Ù¸®½ºÅ¸ ¾ÆÄ«µ¥¹Ì µî ´Ù¾çÇÑ Ä¿ÇÇ ÄÜÅÙÃ÷¸¦ ±¸ÃàÇÏ°í ÀÖÀ» »Ó¸¸ ¾Æ´Ï¶ó Ä¿ÇÇ Àü¹®Á¡ ´ëºÎºÐÀÌ ·Î½ºÆÃÀ» ÇÏ´Â ·Î½ºÅÍ¸® Ä«Æä·Î ¼º¾÷ ÁßÀÎ ¸í½Ç»óºÎÇÑ Ä¿ÇÇ µµ½Ã´Ù.",37.7721117,128.9481046,,
°­¿ø,°­¸ª½Ã,°æÆ÷´ë,°­¿øµµ °­¸ª½Ã °æÆ÷·Î 365 °æÆ÷´ë,"°æÆ÷´ë(ÌðøÝÓæ)´Â€°­¿øµµ€°­¸ª½Ã¿¡¼­ µ¿ºÏÂÊÀ¸·Î 7km ÁöÁ¡, ¾ð´ö À§ÀÇ ´©´ë(×§Óæ)·Î, Á¤¸é 5Ä­, Ãø¸é 5Ä­ÀÇ ÆÈÀÛÁöºØ °Ç¹°ÀÌ´Ù.€1971³â€12¿ù 16ÀÏ€°­¿øµµÀ¯Çü¹®È­Àç€Á¦6È£·Î ÁöÁ¤µÇ¾úÀ¸¸ç,€°üµ¿ÆÈ°æÀÇ ÇÏ³ªÀÌ´Ù. °æÆ÷È£¼ö¿Í ¼Ö¹ç, µ¿ÇØÀÇ Ã»ÆÄ¿¡ ¶°µµ´Â ¹éÁ¶, Ãß¼® ´Þ¸ÂÀÌ µîÀÌ ¸Å¿ì ¾Æ¸§´ä´Ù.",37.7950946,128.896645,033-640-4471,
°­¿ø,°­¸ª½Ã,¿ÀÁ×Çå,°­¿øµµ °­¸ª½Ã À²°î·Î3139¹ø±æ 24 ¿ÀÁ×Çå,"¿ÀÁ×Çå(è¡ñÓúÍ)Àº€º¸¹°€Á¦165È£·Î,€°­¿øµµ€°­¸ª½Ã¿¡ ÀÖ´Â€½Å»çÀÓ´ç°ú€À²°î ÀÌÀÌ(×ÊÍÛ ×Ýì´)ÀÇ »ý°¡ÀÌ´Ù.€Á¶¼±½Ã´ë€Áß±âÀÇ ¾ç¹ÝÁý ¸ð½ÀÀ» º¸Á¸ÇÑ Èñ±ÍÇÑ ¿¹·Î¼­ ÁÖ½ÉÆ÷(ñºãýøÐ) °èÅëÀÇ Ã»¼øÇÏ°í ¼Ò¹ÚÇÑ ÆÈÀÛÁýÀÌ´Ù.€µÚ¶ã¿¡ ¿ÀÁ×ÀÌ ÀÚ¶ó°í ÀÖ¾î¼­ ¿ÀÁ×ÇåÀÌ¶õ ÀÌ¸§ÀÌ ºÙ¿©Á³´Ù.",37.7790191,128.8777083,033-660-3301,
°­¿ø,°­¸ª½Ã,Á¤µ¿Áø,°­¿øµµ °­¸ª½Ã °­µ¿¸é Á¤µ¿Áø¸®,"Á¤µ¿Áø(ïáÔÔòÐ)Àº€°­¿øµµ€°­¸ª½Ã€°­µ¿¸é Á¤µ¿Áø¸®¿¡ ÀÖ´Â€µ¿ÇØ€¹Ù´å°¡·Î,€ÇØµ¸ÀÌÀÇ ¸í¼ÒÀÌ´Ù. Á¶¼±½Ã´ë€ÇÑ¾çÀÇ€±¤È­¹®€±âÁØÀ¸·Î Á¤µ¿(ïáÔÔ)ÂÊ¿¡ ÀÖ´Ù ÇÏ¿© ºÙ¿©Áø ÀÌ¸§ÀÌ´Ù.€Á¤µ¿Áø¿ªÀº ¼¼°è¿¡¼­ °¡Àå ¹Ù´å°¡¿¡ °¡±î¿î ±âÂ÷¿ªÀ¸·Î ±â³×½ººÏ¿¡ µîÀçµÇ¾î ÀÖ´Ù.",37.6925687,129.0318013,033-640-4536,
°­¿ø,¼ÓÃÊ½Ã,¾Æ¹ÙÀÌ¸¶À»,°­¿øµµ ¼ÓÃÊ½Ã Ã»È£·Î 122,"¾Æ¹ÙÀÌ¸¶À»Àº€°­¿øµµ€¼ÓÃÊ½Ã€Ã»È£µ¿¿¡ À§Ä¡ÇÑ€ÇÔ°æµµ€Ãâ½Å ½ÇÇâ¹ÎµéÀÇ Áý´ÜÃÌÀÌ´Ù. ÇàÁ¤±¸¿ª»ó€¼ÓÃÊ½Ã€Ã»È£µ¿¿¡ ¼ÓÇØÀÖÀ¸¸ç ¼ÓÄªÀ¸·Î '¾Æ¹ÙÀÌÃÌ' ¶Ç´Â '¾Æ¹ÙÀÌÁý´ÜÃÌ' ÀÌ¶ó°íµµ ºÒ¸°´Ù. ³Ã¸é, ¼ø´ë µîÀÌ ÀÖ´Âµ¥ Æ¯È÷ ÇÔ°æµµ Ãâ½ÅµéÀÌ ¸¹±â ¶§¹®¿¡ ÇÔÈï³Ã¸éÀÌ ´ëÇ¥ÀûÀÌ¸ç '¾Æ¹ÙÀÌ¼ø´ë' ¶ó ºÒ¸®´Â ¿ÀÂ¡¾î¼ø´ë°¡ ÀÖ´Ù.",38.203425,128.5943868,033-633-3171,http://www.abai.co.kr/
°­¿ø,¾ç¾ç±º,³«»ê»ç,°­¿øµµ ¾ç¾ç±º °­Çö¸é ³«»ê»ç·Î 100,"³«»ê»ç (Õ¦ß£ÞÑ)´Â ´ëÇÑ¹Î±¹ °­¿øµµ ¾ç¾ç±º ¿ÀºÀ»ê¿¡ ÀÖ´Â ÀýÀÌ´Ù. Àý ÁÖÀ§¿¡´Â º¸¹°ÀÎ ³«»ê»çÄ¥Ãþ¼®Å¾°ú, °øÁß¿¡¼­ º¸¼®À» ¾ò¾î ³Ö¾î µÎ¾ú´Ù´Â °øÁß »ç¸®Å¾°ú ±× ºñ°¡ ÀÖ´Ù. ´ëÇÑºÒ±³Á¶°èÁ¾ Á¦3±³±¸ ½ÅÈï»çÀÇ ¸»»çÀÌ¸é¼­ µ¿½Ã¿¡ °­¿øµµÀÇ °üµ¿ÆÈ°æ Áß ÇÏ³ªÀÌ´Ù.",38.1255196,128.6285519,033-672-2447,http://www.naksansa.or.kr/
°­¿ø,¿øÁÖ½Ã,¹ÂÁö¾ö »ê,°­¿øµµ ¿øÁÖ½Ã ÁöÁ¤¸é ¿ÀÅ©¹ë¸®2±æ 260,,37.4195306,127.8230309,033-730-9000,http://museumsan.org/
°­¿ø,ÀÎÁ¦±º,¼³¾Ç»ê,°­¿øµµ ÀÎÁ¦±º ºÏ¸é,,38.1077393,128.3633945,033-636-7700,http://seorak.knps.or.kr/
°­¿ø,ÀÎÁ¦±º,¿ø´ë¸®ÀÚÀÛ³ª¹«½£,°­¿øµµ ÀÎÁ¦±º ÀÎÁ¦À¾ ¿ø³²·Î 760 ÀÚÀÛ³ª¹«½£ ¾È³»¼Ò,,37.9737703,128.2272702,,
